City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
303,Mananjary,-21.2167,48.3333,75.81,83,67,1.39,MG
304,Santana,-0.0583,-51.1817,78.98,94,40,4.61,BR
305,Aleksandrov Gay,50.147,48.5704,47.95,66,62,5.48,RU
306,Farafangana,-22.8167,47.8333,74.25,85,41,1.92,MG
307,Taksimo,56.3444,114.8794,9.43,70,69,0.92,RU
308,Ramnagar,29.4,79.1167,66.6,51,55,4.81,IN
309,Broken Hill,-31.95,141.4333,79.54,22,3,15.52,AU
310,Saurimo,-9.6608,20.3916,64.69,97,100,3.58,AO
311,Rundu,-17.9333,19.7667,65.82,93,100,4.38,NA
312,Ilebo,-4.3167,20.5833,69.82,99,100,1.43,CD
313,Shamary,57.3434,58.2199,34.59,93,100,13.09,RU
314,Scottsbluff,41.8666,-103.6672,50.23,49,0,14.97,US
315,Saint Pete Beach,27.7253,-82.7412,72.19,77,0,7.83,US
316,Plouzane,48.3833,-4.6167,51.98,87,100,19.57,FR
317,Susanville,40.4163,-120.653,42.64,63,0,16.11,US
318,Kabo,7.6994,18.629,76.35,56,45,3.76,CF
319,Guerrero Negro,27.9769,-114.0611,58.05,67,0,23.78,MX
320,Hambantota,6.1241,81.1185,73.74,100,40,2.3,LK
321,Yerbogachen,61.2767,108.0108,16.68,86,13,11.92,RU
322,Kalianget,-7.05,113.9333,84.42,68,9,2.75,ID
323,Abrau-Dyurso,44.69,37.59,47.66,89,100,9.66,RU
324,Nyiracsad,47.6033,21.9721,44.11,73,100,7.74,HU
325,Ingham,42.6,-84.3833,41.18,78,0,0.0,US
326,Kaset Sombun,16.2805,101.9542,89.37,48,17,6.73,TH
327,Denpasar,-8.65,115.2167,83.86,83,20,4.61,ID
328,Te Anau,-45.4167,167.7167,61.74,51,100,5.88,NZ
329,Kavaratti,10.5669,72.642,81.23,70,82,11.5,IN
330,Ikalamavony,-21.15,46.5833,66.38,92,25,4.92,MG
331,Husavik,66.0449,-17.3389,24.12,83,100,10.09,IS
332,Torbay,47.6666,-52.7314,25.27,86,0,5.75,CA
333,Neiafu,-18.65,-173.9833,81.28,83,75,2.3,TO
334,Gazipur,23.9981,90.423,71.56,78,0,0.0,BD
335,Loncoche,-39.3667,-72.6333,51.53,65,0,2.64,CL
336,Botou,38.0667,116.5667,50.83,15,43,11.65,CN
337,Meulaboh,4.1363,96.1285,78.3,86,99,3.15,ID
338,Robertsport,6.7533,-11.3686,79.32,85,100,10.87,LR
339,Dillon,34.4166,-79.3712,71.58,73,0,9.6,US
340,Chabahar,25.2919,60.643,71.53,44,0,6.51,IR
341,Bonthe,7.5264,-12.505,76.33,88,100,6.17,SL
342,Ryomgard,56.3843,10.503,46.62,95,75,10.0,DK
343,Zirgan,53.2222,55.9185,34.52,98,100,3.87,RU
344,Mount Pleasant,32.7941,-79.8626,68.2,83,0,8.05,US
345,Idenao,4.2475,9.0047,77.02,93,100,3.87,CM
346,Tilichiki,60.4667,166.1,-5.93,82,6,5.95,RU
